ID,Shinji,Kyuji,Kyuji_Unicode,Kyuji_Unicode_with_IVS,CID
738,殺,殺,U+F970,,
739,察,察,U+5BDF,,
740,撮,撮,U+64AE,,
741,擦,擦,U+64E6,,
742,雑,雜,U+96DC,,
743,皿,皿,U+76BF,,
744,三,三,U+4E09,,
745,山,山,U+5C71,,
746,参,參,U+53C3,,
747,桟,棧,U+68E7,,
748,蚕,蠶,U+8836,,
749,惨,慘,U+6158,,
750,産,產,U+7522,,
751,傘,傘,U+5098,,
752,散,散,U+6563,,
753,算,算,U+7B97,,
754,酸,酸,U+9178,,
755,賛,贊,U+8D0A,,
756,残,殘,U+6B98,,
757,斬,斬,U+65AC,,
758,暫,暫,U+66AB,,
759,士,士,U+58EB,,
760,子,子,U+5B50,,
761,支,支,U+652F,,
762,止,止,U+6B62,,
763,氏,氏,U+6C0F,,
764,仕,仕,U+4ED5,,
765,史,史,U+53F2,U+53F2 U+E0101,CID+13451
766,司,司,U+53F8,,
767,四,四,U+56DB,,
768,市,市,U+5E02,,
769,矢,矢,U+77E2,,
770,旨,旨,U+65E8,,
771,死,死,U+6B7B,,
772,糸,絲,U+7D72,,
773,至,至,U+81F3,,
774,伺,伺,U+4F3A,,
775,志,志,U+5FD7,,
776,私,私,U+79C1,,
777,使,使,U+4F7F,U+4F7F U+E0101,CID+13450
778,刺,刺,U+523A,,
779,始,始,U+59CB,,
780,姉,姉,U+59C9,,
781,枝,枝,U+679D,,
782,祉,祉,U+FA4D,,
783,肢,肢,U+80A2,,
784,姿,姿,U+59FF,U+59FF U+E0101,CID+13792
785,思,思,U+601D,,
786,指,指,U+6307,,
787,施,施,U+65BD,,
788,師,師,U+5E2B,,
789,恣,恣,U+6063,,
790,紙,紙,U+7D19,,
791,脂,脂,U+8102,,
792,視,視,U+FA61,,
793,紫,紫,U+7D2B,,
794,詞,詞,U+8A5E,,
795,歯,齒,U+9F52,,
796,嗣,嗣,U+55E3,,
797,試,試,U+8A66,,
798,詩,詩,U+8A69,,
799,資,資,U+8CC7,U+8CC7 U+E0101,CID+13797
800,飼,飼,U+FA2B,,
801,誌,誌,U+8A8C,,
802,雌,雌,U+96CC,,
803,摯,摯,U+646F,,
804,賜,賜,U+8CDC,,
805,諮,諮,U+8AEE,U+8AEE U+E0101,CID+13795
806,示,示,U+793A,,
807,字,字,U+5B57,,
808,寺,寺,U+5BFA,,
809,次,次,U+6B21,U+6B21 U+E0101,CID+13799
810,耳,耳,U+8033,,
811,自,自,U+81EA,,
812,似,似,U+4F3C,,
813,児,兒,U+5152,,
814,事,事,U+4E8B,,
815,侍,侍,U+4F8D,,
816,治,治,U+6CBB,,
817,持,持,U+6301,,
818,時,時,U+6642,,
819,滋,滋,U+6ECB,,
820,慈,慈,U+6148,,
821,辞,辭,U+8FAD,,
822,磁,磁,U+78C1,,
823,餌,餌,U+990C,,
824,璽,璽,U+74BD,,
825,鹿,鹿,U+9E7F,,
826,式,式,U+5F0F,,
827,識,識,U+8B58,,
828,軸,軸,U+8EF8,,
829,七,七,U+4E03,,
830,𠮟,𠮟,U+20B9F,,
831,失,失,U+5931,,
832,室,室,U+5BA4,,
833,疾,疾,U+75BE,,
834,執,執,U+57F7,,
835,湿,濕,U+6FD5,,
836,嫉,嫉,U+5AC9,,
837,漆,漆,U+6F06,,
838,質,質,U+8CEA,,
839,実,實,U+5BE6,,
840,芝,芝,U+829D,,
841,写,寫,U+5BEB,,
842,社,社,U+FA4C,,
843,車,車,U+8ECA,,
844,舎,舍,U+820D,,
845,者,者,U+FA5B,,
846,射,射,U+5C04,,
847,捨,捨,U+6368,U+6368 U+E0101,CID+13804
848,赦,赦,U+8D66,,
849,斜,斜,U+659C,U+659C U+E0101,CID+13805
850,煮,煮,U+FA48,,
851,遮,遮,U+906E,U+906E U+E0101,CID+7694
852,謝,謝,U+8B1D,U+8B1D U+E0101,CID+13453
853,邪,邪,U+90AA,U+90AA U+E0102,CID+13806
854,蛇,蛇,U+86C7,,
855,尺,尺,U+5C3A,,
856,借,借,U+501F,,
857,酌,酌,U+914C,U+914C U+E0101,CID+13810
858,釈,釋,U+91CB,,
859,爵,爵,U+7235,U+7235 U+E0102,CID+13808
860,若,若,U+82E5,,
861,弱,弱,U+5F31,U+5F31 U+E0101,CID+13811
862,寂,寂,U+5BC2,,
863,手,手,U+624B,,
864,主,主,U+4E3B,U+4E3B U+E0101,CID+13812
865,守,守,U+5B88,,
866,朱,朱,U+6731,,
867,取,取,U+53D6,,
868,狩,狩,U+72E9,,
869,首,首,U+9996,,
870,殊,殊,U+6B8A,,
871,珠,珠,U+73E0,,
872,酒,酒,U+9152,,
873,腫,腫,U+816B,,
874,種,種,U+7A2E,,
875,趣,趣,U+8DA3,,
876,寿,壽,U+58FD,,
877,受,受,U+53D7,U+53D7 U+E0101,CID+13813
878,呪,呪,U+546A,,
879,授,授,U+6388,U+6388 U+E0101,CID+13814
880,需,需,U+9700,,
881,儒,儒,U+5112,,
882,樹,樹,U+6A39,,
883,収,收,U+6536,,
884,囚,囚,U+56DA,,
885,州,州,U+5DDE,,
886,舟,舟,U+821F,,
887,秀,秀,U+79C0,,
888,周,周,U+5468,U+5468 U+E0100,CID+13815
889,宗,宗,U+5B97,,
890,拾,拾,U+62FE,,
891,秋,秋,U+79CB,,
892,臭,臭,U+FA5C,,
893,修,修,U+4FEE,,
894,袖,袖,U+8896,,
895,終,終,U+7D42,U+7D42 U+E0101,CID+13816
896,羞,羞,U+7F9E,,
897,習,習,U+7FD2,U+7FD2 U+E0101,CID+13817
898,週,週,U+9031,U+9031 U+E0101,CID+13819
899,就,就,U+5C31,,
900,衆,衆,U+8846,U+8846 U+E0101,CID+13818
901,集,集,U+96C6,,
902,愁,愁,U+6101,,
903,酬,酬,U+916C,,
904,醜,醜,U+919C,,
905,蹴,蹴,U+8E74,,
906,襲,襲,U+8972,,
907,十,十,U+5341,,
908,汁,汁,U+6C41,,
909,充,充,U+5145,,
910,住,住,U+4F4F,U+4F4F U+E0101,CID+13820
911,柔,柔,U+67D4,,
912,重,重,U+91CD,,
913,従,從,U+5F9E,,
914,渋,澁,U+6F81,,
915,銃,銃,U+9283,,
916,獣,獸,U+7378,,
917,縦,縱,U+7E31,,
918,叔,叔,U+53D4,,
919,祝,祝,U+FA51,,
920,宿,宿,U+5BBF,,
921,淑,淑,U+6DD1,,
922,粛,肅,U+8085,,
923,縮,縮,U+7E2E,,
924,塾,塾,U+587E,,
925,熟,熟,U+719F,,
926,出,出,U+51FA,,
927,述,述,U+8FF0,U+8FF0 U+E0101,CID+13822
928,術,術,U+8853,U+8853 U+E0101,CID+13821
929,俊,俊,U+4FCA,,
930,春,春,U+6625,,
931,瞬,瞬,U+77AC,,
932,旬,旬,U+65EC,,
933,巡,巡,U+5DE1,U+5DE1 U+E0101,CID+13823
934,盾,盾,U+76FE,,
935,准,准,U+51C6,,
936,殉,殉,U+6B89,,
937,純,純,U+7D14,,
938,循,循,U+5FAA,,
939,順,順,U+9806,,
940,準,準,U+6E96,,
941,潤,潤,U+6F64,U+6F64 U+E0101,CID+20166
942,遵,遵,U+9075,U+9075 U+E0101,CID+13824
943,処,處,U+8655,,
944,初,初,U+521D,,
945,所,所,U+6240,U+6240 U+E0101,CID+13826
946,書,書,U+66F8,,
947,庶,庶,U+5EB6,,
948,暑,暑,U+FA43,,
949,署,署,U+FA5A,,
950,緒,緖,U+7DD6,,
951,諸,諸,U+FA22,,
952,女,女,U+5973,,
953,如,如,U+5982,,
954,助,助,U+52A9,,
955,序,序,U+5E8F,,
956,叙,敍,U+654D,,
957,徐,徐,U+5F90,,
958,除,除,U+9664,,
959,小,小,U+5C0F,,
960,升,升,U+5347,,
961,少,少,U+5C11,,
962,召,召,U+53EC,,
963,匠,匠,U+5320,,
964,床,床,U+5E8A,,
965,抄,抄,U+6284,,
966,肖,肖,U+8096,U+8096 U+E0101,CID+13838
967,尚,尙,U+5C19,,
968,招,招,U+62DB,,
969,承,承,U+627F,,
970,昇,昇,U+6607,,
971,松,松,U+677E,U+677E U+E0101,CID+13461
972,沼,沼,U+6CBC,,
973,昭,昭,U+662D,,
974,宵,宵,U+5BB5,U+5BB5 U+E0101,CID+13831
975,将,將,U+5C07,,
976,消,消,U+6D88,U+6D88 U+E0101,CID+13836
977,症,症,U+75C7,,
978,祥,祥,U+FA1A,,
979,称,稱,U+7A31,U+7A31 U+E0101,CID+7846
980,笑,笑,U+7B11,,
981,唱,唱,U+5531,,
982,商,商,U+5546,U+5546 U+E0101,CID+13830
983,渉,涉,U+6D89,,
984,章,章,U+7AE0,,
985,紹,紹,U+7D39,,
986,訟,訟,U+8A1F,U+8A1F U+E0101,CID+13462
987,勝,勝,U+52DD,U+52DD U+E0101,CID+13829
988,掌,掌,U+638C,,
989,晶,晶,U+6676,,
990,焼,燒,U+71D2,,
991,焦,焦,U+7126,,
992,硝,硝,U+785D,U+785D U+E0101,CID+13837
993,粧,粧,U+7CA7,,
994,詔,詔,U+8A54,,
995,証,證,U+8B49,,
996,象,象,U+8C61,,
997,傷,傷,U+50B7,,
998,奨,奬,U+596C,,
999,照,照,U+7167,,
1000,詳,詳,U+8A73,,
1001,彰,彰,U+5F70,,
1002,障,障,U+969C,,
1003,憧,憧,U+61A7,,
1004,衝,衝,U+885D,,
1005,賞,賞,U+8CDE,,
1006,償,償,U+511F,,
1007,礁,礁,U+7901,,
1008,鐘,鐘,U+9418,,
1009,上,上,U+4E0A,,
1010,丈,丈,U+4E08,U+4E08 U+E0101,CID+13463
1011,冗,冗,U+5197,,
1012,条,條,U+689D,,
1013,状,狀,U+72C0,,
1014,乗,乘,U+4E58,,
1015,城,城,U+57CE,U+57CE U+E0101,CID+2515
1016,浄,淨,U+6DE8,,
1017,剰,剩,U+5269,,
1018,常,常,U+5E38,,
1019,情,情,U+60C5,U+60C5 U+E0101,CID+13842
1020,場,場,U+5834,,
1021,畳,疊,U+758A,,
1022,蒸,蒸,U+84B8,,
1023,縄,繩,U+7E69,,
1024,壌,壤,U+58E4,,
1025,嬢,孃,U+5B43,,
1026,錠,錠,U+9320,,
1027,譲,讓,U+8B93,,
1028,醸,釀,U+91C0,,
1029,色,色,U+8272,,
1030,拭,拭,U+62ED,,
1031,食,食,U+98DF,U+98DF U+E0101,CID+13847
1032,植,植,U+690D,U+690D U+E0102,CID+13845
1033,殖,殖,U+6B96,U+6B96 U+E0101,CID+13846
1034,飾,飾,U+98FE,U+98FE U+E0101,CID+13844
1035,触,觸,U+89F8,,
1036,嘱,囑,U+56D1,,
1037,織,織,U+7E54,,
1038,職,職,U+8077,,
1039,辱,辱,U+8FB1,,
1040,尻,尻,U+5C3B,,
1041,心,心,U+5FC3,,
1042,申,申,U+7533,,
1043,伸,伸,U+4F38,,
1044,臣,臣,U+81E3,,
1045,芯,芯,U+82AF,,
1046,身,身,U+8EAB,,
1047,辛,辛,U+8F9B,,
1048,侵,侵,U+4FB5,U+4FB5 U+E0101,CID+13851
1049,信,信,U+4FE1,,
1050,津,津,U+6D25,,
1051,神,神,U+FA19,,
1052,唇,唇,U+5507,,
1053,娠,娠,U+5A20,,
1054,振,振,U+632F,,
1055,浸,浸,U+6D78,U+6D78 U+E0101,CID+13853
1056,真,眞,U+771E,U+771E U+E0100,CID+13357
1057,針,針,U+91DD,,
1058,深,深,U+6DF1,,
1059,紳,紳,U+7D33,,
1060,進,進,U+9032,U+9032 U+E0101,CID+13855
1061,森,森,U+68EE,,
1062,診,診,U+8A3A,,
1063,寝,寢,U+5BE2,,
1064,慎,愼,U+613C,U+614E U+E0100,CID+13356
1065,新,新,U+65B0,,
1066,審,審,U+5BE9,,
1067,震,震,U+9707,,
1068,薪,薪,U+85AA,,
1069,親,親,U+89AA,,
1070,人,人,U+4EBA,,
1071,刃,刃,U+5203,U+5203 U+E0101,CID+13858
1072,仁,仁,U+4EC1,,
1073,尽,盡,U+76E1,,
1074,迅,迅,U+8FC5,U+8FC5 U+E0101,CID+13862
1075,甚,甚,U+751A,,
1076,陣,陣,U+9663,,
1077,尋,尋,U+5C0B,U+5C0B U+E0101,CID+13859
1078,腎,腎,U+814E,,
1079,須,須,U+9808,,
1080,図,圖,U+5716,,
1081,水,水,U+6C34,,
1082,吹,吹,U+5439,,
1083,垂,垂,U+5782,,
1084,炊,炊,U+708A,,
1085,帥,帥,U+5E25,,
1086,粋,粹,U+7CB9,,
1087,衰,衰,U+8870,U+8870 U+E0101,CID+13863
1088,推,推,U+63A8,,
1089,酔,醉,U+9189,,
1090,遂,遂,U+9042,U+9042 U+E0102,CID+13864
1091,睡,睡,U+7761,,
1092,穂,穗,U+7A57,,
1093,随,隨,U+96A8,,
1094,髄,髓,U+9AD3,,
1095,枢,樞,U+6A1E,,
1096,崇,崇,U+5D07,,
1097,数,數,U+6578,,
1098,据,据,U+636E,,
1099,杉,杉,U+6749,,
1100,裾,裾,U+88FE,,
1101,寸,寸,U+5BF8,,
1102,瀬,瀨,U+7028,,
1103,是,是,U+662F,,
1104,井,井,U+4E95,,
1105,世,世,U+4E16,,
1106,正,正,U+6B63,,
1107,生,生,U+751F,,
1108,成,成,U+6210,U+6210 U+E0101,CID+13867
1109,西,西,U+897F,,
1110,声,聲,U+8072,,
1111,制,制,U+5236,,
1112,姓,姓,U+59D3,,
1113,征,征,U+5F81,,
1114,性,性,U+6027,,
1115,青,青,U+9752,,
1116,斉,齊,U+9F4A,,
1117,政,政,U+653F,,
1118,星,星,U+661F,,
1119,牲,牲,U+7272,,
1120,省,省,U+7701,,
1121,凄,凄,U+51C4,,
1122,逝,逝,U+901D,U+901D U+E0101,CID+7714
1123,清,清,U+6DF8,,
1124,盛,盛,U+76DB,U+76DB U+E0101,CID+13868
1125,婿,婿,U+5A7F,,
1126,晴,晴,U+FA12,,
1127,勢,勢,U+52E2,,
1128,聖,聖,U+8056,U+8056 U+E0101,CID+13869
1129,誠,誠,U+8AA0,U+8AA0 U+E0101,CID+13871
1130,精,精,U+FA1D,,
1131,製,製,U+88FD,,
1132,誓,誓,U+8A93,,
1133,静,靜,U+975C,,
1134,請,請,U+8ACB,U+8ACB U+E0101,CID+13872
1135,整,整,U+6574,,
1136,醒,醒,U+9192,,
1137,税,稅,U+7A05,,
1138,夕,夕,U+5915,,
1139,斥,斥,U+65A5,,
1140,石,石,U+77F3,,
1141,赤,赤,U+8D64,,
1142,昔,昔,U+6614,,
1143,析,析,U+6790,,
1144,席,席,U+5E2D,,
1145,脊,脊,U+810A,,
1146,隻,隻,U+96BB,U+96BB U+E0101,CID+13877
1147,惜,惜,U+60DC,,
1148,戚,戚,U+621A,,
1149,責,責,U+8CAC,,
1150,跡,跡,U+8DE1,,
1151,積,積,U+7A4D,,
1152,績,績,U+7E3E,,
1153,籍,籍,U+7C4D,U+7C4D U+E0101,CID+13878
1154,切,切,U+5207,,
1155,折,折,U+6298,,
1156,拙,拙,U+62D9,,
1157,窃,竊,U+7ACA,,
1158,接,接,U+63A5,,
1159,設,設,U+8A2D,,
1160,雪,雪,U+96EA,U+96EA U+E0101,CID+13881
1161,摂,攝,U+651D,,
1162,節,節,U+FA56,,
1163,説,說,U+8AAA,,
1164,舌,舌,U+820C,,
1165,絶,絕,U+7D55,,
1166,千,千,U+5343,,
1167,川,川,U+5DDD,,
1168,仙,仙,U+4ED9,,
1169,占,占,U+5360,,
1170,先,先,U+5148,,
1171,宣,宣,U+5BA3,,
1172,専,專,U+5C08,,
1173,泉,泉,U+6CC9,,
1174,浅,淺,U+6DFA,,
1175,洗,洗,U+6D17,,
1176,染,染,U+67D3,,
1177,扇,扇,U+6247,U+6247 U+E0101,CID+13883
1178,栓,栓,U+6813,U+6813 U+E0101,CID+7717
1179,旋,旋,U+65CB,,
1180,船,船,U+8239,U+8239 U+E0102,CID+13886
1181,戦,戰,U+6230,,
1182,煎,煎,U+714E,,
1183,羨,羨,U+7FA8,,
1184,腺,腺,U+817A,,
1185,詮,詮,U+8A6E,,
1186,践,踐,U+8E10,,
1187,箋,箋,U+7B8B,,
1188,銭,錢,U+9322,,
1189,潜,潛,U+6F5B,,
1190,線,線,U+7DDA,,
1191,遷,遷,U+9077,U+9077 U+E0101,CID+13888
1192,選,選,U+9078,U+9078 U+E0101,CID+13887
1193,薦,薦,U+85A6,,
1194,繊,纖,U+7E96,,
1195,鮮,鮮,U+9BAE,,
1196,全,全,U+5168,U+5168 U+E0101,CID+13890
1197,前,前,U+524D,U+524D U+E0101,CID+13889
1198,善,善,U+5584,,
1199,然,然,U+7136,,
1200,禅,禪,U+79AA,,
1201,漸,漸,U+6F38,,
1202,膳,膳,U+81B3,,
1203,繕,繕,U+7E55,,
1204,狙,狙,U+72D9,,
1205,阻,阻,U+963B,,
1206,祖,祖,U+FA50,,
1207,租,租,U+79DF,,
1208,素,素,U+7D20,,
1209,措,措,U+63AA,,
1210,粗,粗,U+7C97,,
1211,組,組,U+7D44,,
1212,疎,疎,U+758E,,
1213,訴,訴,U+8A34,,
1214,塑,塑,U+5851,,
1215,遡,遡,U+9061,,
1216,礎,礎,U+790E,,
1217,双,雙,U+96D9,U+96D9 U+E0101,CID+13525
1218,壮,壯,U+58EF,,
1219,早,早,U+65E9,,
1220,争,爭,U+722D,,
1221,走,走,U+8D70,,
1222,奏,奏,U+594F,,
1223,相,相,U+76F8,,
1224,荘,莊,U+838A,,
1225,草,草,U+8349,,
1226,送,送,U+9001,U+9001 U+E0101,CID+13895
1227,倉,倉,U+5009,,
1228,捜,搜,U+641C,,
1229,挿,插,U+63D2,,
1230,桑,桑,U+6851,,
1231,巣,巢,U+5DE2,,
1232,掃,掃,U+6383,U+6383 U+E0101,CID+13891
1233,曹,曹,U+66F9,,
1234,曽,曾,U+66FE,,
1235,爽,爽,U+723D,,
1236,窓,窓,U+7A93,,
1237,創,創,U+5275,,
1238,喪,喪,U+55AA,,
1239,痩,瘦,U+7626,,
1240,葬,葬,U+846C,,
1241,装,裝,U+88DD,,
1242,僧,僧,U+FA31,,
1243,想,想,U+60F3,,
1244,層,層,U+FA3B,,
1245,総,總,U+7E3D,,
1246,遭,遭,U+906D,U+906D U+E0101,CID+13896
1247,槽,槽,U+69FD,,
1248,踪,踪,U+8E2A,,
1249,操,操,U+64CD,,
1250,燥,燥,U+71E5,,
1251,霜,霜,U+971C,,
1252,騒,騷,U+9A37,,
1253,藻,藻,U+85FB,,
1254,造,造,U+9020,U+9020 U+E0101,CID+13897
1255,像,像,U+50CF,,
1256,増,增,U+589E,,
1257,憎,憎,U+FA3F,,
1258,蔵,藏,U+85CF,,
1259,贈,贈,U+FA65,,
1260,臓,臟,U+81DF,,
1261,即,卽,U+537D,,
1262,束,束,U+675F,,
1263,足,足,U+8DB3,,
1264,促,促,U+4FC3,,
1265,則,則,U+5247,,
1266,息,息,U+606F,,
1267,捉,捉,U+6349,,
1268,速,速,U+901F,U+901F U+E0101,CID+13899
1269,側,側,U+5074,,
1270,測,測,U+6E2C,,
1271,俗,俗,U+4FD7,,
1272,族,族,U+65CF,,
1273,属,屬,U+5C6C,,
1274,賊,賊,U+8CCA,U+8CCA U+E0101,CID+13900
1275,続,續,U+7E8C,,
1276,卒,卒,U+5352,,
1277,率,率,U+7387,U+7387 U+E0101,CID+14085
1278,存,存,U+5B58,,
1279,村,村,U+6751,,
1280,孫,孫,U+5B6B,,
1281,尊,尊,U+5C0A,U+5C0A U+E0101,CID+13901
1282,損,損,U+640D,,
1283,遜,遜,U+905C,U+905C U+E0101,CID+7726
1284,他,他,U+4ED6,,
1285,多,多,U+591A,,
1286,汰,汰,U+6C70,,
1287,打,打,U+6253,,
1288,妥,妥,U+59A5,U+59A5 U+E0101,CID+13903
1289,唾,唾,U+553E,,
1290,堕,墮,U+58AE,,
1291,惰,惰,U+60F0,,
1292,駄,駄,U+99C4,,
1293,太,太,U+592A,,
1294,対,對,U+5C0D,,
1295,体,體,U+9AD4,,
1296,耐,耐,U+8010,,
1297,待,待,U+5F85,,
1298,怠,怠,U+6020,,
1299,胎,胎,U+80CE,,
1300,退,退,U+9000,U+9000 U+E0101,CID+13905
1301,帯,帶,U+5E36,,
1302,泰,泰,U+6CF0,,
1303,堆,堆,U+5806,,
1304,袋,袋,U+888B,,
1305,逮,逮,U+902E,U+902E U+E0101,CID+13906
1306,替,替,U+66FF,,
1307,貸,貸,U+8CB8,,
1308,隊,隊,U+968A,U+968A U+E0101,CID+13907
1309,滞,滯,U+6EEF,,
1310,態,態,U+614B,,
1311,戴,戴,U+6234,,
1312,大,大,U+5927,,
1313,代,代,U+4EE3,,
1314,台,臺,U+81FA,,
1315,第,第,U+7B2C,,
1316,題,題,U+984C,,
1317,滝,瀧,U+7027,,
1318,宅,宅,U+5B85,,
1319,択,擇,U+64C7,,
1320,沢,澤,U+6FA4,,
1321,卓,卓,U+5353,,
1322,拓,拓,U+62D3,,
1323,託,託,U+8A17,,
1324,濯,濯,U+6FEF,U+6FEF U+E0101,CID+7731
1325,諾,諾,U+8AFE,,
1326,濁,濁,U+6FC1,,
1327,但,但,U+4F46,,
1328,達,達,U+9054,U+9054 U+E0101,CID+13912
1329,脱,脫,U+812B,,
1330,奪,奪,U+596A,,
1331,棚,棚,U+68DA,,
1332,誰,誰,U+8AB0,,
1333,丹,丹,U+4E39,,
1334,旦,旦,U+65E6,,
1335,担,擔,U+64D4,,
1336,単,單,U+55AE,,
1337,炭,炭,U+70AD,U+70AD U+E0101,CID+13916
1338,胆,膽,U+81BD,,
1339,探,探,U+63A2,,
1340,淡,淡,U+6DE1,,
1341,短,短,U+77ED,,
1342,嘆,嘆,U+FA37,,
1343,端,端,U+7AEF,,
1344,綻,綻,U+7DBB,,
1345,誕,誕,U+8A95,U+8A95 U+E0102,CID+13917
1346,鍛,鍛,U+935B,,
1347,団,團,U+5718,,
1348,男,男,U+7537,,
1349,段,段,U+6BB5,,
1350,断,斷,U+65B7,,
1351,弾,彈,U+5F48,,
1352,暖,暖,U+6696,U+6696 U+E0101,CID+13918
1353,談,談,U+8AC7,,
1354,壇,壇,U+58C7,,
1355,地,地,U+5730,,
1356,池,池,U+6C60,,
1357,知,知,U+77E5,,
1358,値,値,U+5024,U+5024 U+E0101,CID+13919
1359,恥,恥,U+6065,,
1360,致,致,U+81F4,,
1361,遅,遲,U+9072,,
1362,痴,癡,U+7661,,
1363,稚,稚,U+7A1A,,
1364,置,置,U+7F6E,U+7F6E U+E0101,CID+13920
1365,緻,緻,U+7DFB,,
1366,竹,竹,U+7AF9,,
1367,畜,畜,U+755C,,
1368,逐,逐,U+9010,U+9010 U+E0101,CID+13924
1369,蓄,蓄,U+84C4,,
1370,築,築,U+7BC9,U+7BC9 U+E0101,CID+13921
1371,秩,秩,U+79E9,,
1372,窒,窒,U+7A92,,
1373,茶,茶,U+8336,,
1374,着,着,U+7740,,
1375,嫡,嫡,U+5AE1,,
1376,中,中,U+4E2D,,
1377,仲,仲,U+4EF2,,
1378,虫,蟲,U+87F2,,
1379,沖,沖,U+6C96,,
1380,宙,宙,U+5B99,,
1381,忠,忠,U+5FE0,,
1382,抽,抽,U+62BD,,
1383,注,注,U+6CE8,U+6CE8 U+E0101,CID+13926
1384,昼,晝,U+665D,,
1385,柱,柱,U+67F1,U+67F1 U+E0101,CID+13925
1386,衷,衷,U+8877,U+8877 U+E0101,CID+20214
1387,酎,酎,U+914E,,
1388,鋳,鑄,U+9444,,
1389,駐,駐,U+99D0,U+99D0 U+E0101,CID+13927
1390,著,著,U+FA5F,,
1391,貯,貯,U+8CAF,,
1392,丁,丁,U+4E01,,
1393,弔,弔,U+5F14,,
1394,庁,廳,U+5EF3,,
1395,兆,兆,U+5146,U+5146 U+E0101,CID+13477
1396,町,町,U+753A,,
1397,長,長,U+9577,,
1398,挑,挑,U+6311,,
1399,帳,帳,U+5E33,,
1400,張,張,U+5F35,,
1401,彫,彫,U+5F6B,U+5F6B U+E0101,CID+13928
1402,眺,眺,U+773A,U+773A U+E0101,CID+13478
1403,釣,釣,U+91E3,,
1404,頂,頂,U+9802,,
1405,鳥,鳥,U+9CE5,,
1406,朝,朝,U+671D,U+671D U+E0101,CID+13931
1407,貼,貼,U+8CBC,,
1408,超,超,U+8D85,,
1409,腸,腸,U+8178,,
1410,跳,跳,U+8DF3,U+8DF3 U+E0101,CID+13480
1411,徴,徵,U+5FB5,U+5FB5 U+E0101,CID+13929
1412,嘲,嘲,U+5632,U+5632 U+E0101,CID+7821
1413,潮,潮,U+6F6E,U+6F6E U+E0100,CID+13932
1414,澄,澄,U+6F84,,
1415,調,調,U+8ABF,U+8ABF U+E0101,CID+13933
1416,聴,聽,U+807D,,
1417,懲,懲,U+FA40,,
1418,直,直,U+76F4,U+76F4 U+E0101,CID+13934
1419,勅,敕,U+6555,,
1420,捗,捗,U+6357,,
1421,沈,沈,U+6C88,,
1422,珍,珍,U+73CD,,
1423,朕,朕,U+6715,U+6715 U+E0102,CID+13936
1424,陳,陳,U+9673,,
1425,賃,賃,U+8CC3,,
1426,鎮,鎮,U+93AE,U+93AE U+E0101,CID+13370
1427,追,追,U+8FFD,U+8FFD U+E0101,CID+13938
1428,椎,椎,U+690E,,
1429,墜,墜,U+589C,U+589C U+E0101,CID+13937
1430,通,通,U+901A,U+901A U+E0101,CID+13939
1431,痛,痛,U+75DB,,
1432,塚,塚,U+FA10,,
1433,漬,漬,U+6F2C,,
1434,坪,坪,U+576A,U+576A U+E0101,CID+13940
1435,爪,爪,U+722A,,
1436,鶴,鶴,U+9DB4,,
1437,低,低,U+4F4E,,
1438,呈,呈,U+5448,U+5448 U+E0101,CID+13942
1439,廷,廷,U+5EF7,U+5EF7 U+E0101,CID+13482
1440,弟,弟,U+5F1F,,
1441,定,定,U+5B9A,,
1442,底,底,U+5E95,,
1443,抵,抵,U+62B5,,
1444,邸,邸,U+90B8,,
1445,亭,亭,U+4EAD,,
