ID,Shinji,Kyuji,Kyuji_Unicode,Kyuji_Unicode_with_IVS,CID
1446,貞,貞,U+8C9E,,
1447,帝,帝,U+5E1D,U+5E1D U+E0101,CID+13943
1448,訂,訂,U+8A02,,
1449,庭,庭,U+5EAD,U+5EAD U+E0101,CID+13481
1450,逓,遞,U+905E,,
1451,停,停,U+505C,,
1452,偵,偵,U+5075,,
1453,堤,堤,U+5824,,
1454,提,提,U+63D0,,
1455,程,程,U+7A0B,U+7A0B U+E0101,CID+13944
1456,艇,艇,U+8247,U+8247 U+E0101,CID+13483
1457,締,締,U+7DE0,,
1458,諦,諦,U+8AE6,,
1459,泥,泥,U+6CE5,,
1460,的,的,U+7684,,
1461,笛,笛,U+7B1B,,
1462,摘,摘,U+6458,,
1463,滴,滴,U+6EF4,,
1464,適,適,U+9069,U+9069 U+E0101,CID+13946
1465,敵,敵,U+6575,,
1466,溺,溺,U+6EBA,,
1467,迭,迭,U+8FED,U+8FED U+E0101,CID+13947
1468,哲,哲,U+54F2,,
1469,鉄,鐵,U+9435,,
1470,徹,徹,U+5FB9,,
1471,撤,撤,U+64A4,,
1472,天,天,U+5929,,
1473,典,典,U+5178,,
1474,店,店,U+5E97,,
1475,点,點,U+9EDE,,
1476,展,展,U+5C55,,
1477,添,添,U+6DFB,U+6DFB U+E0101,CID+13948
1478,転,轉,U+8F49,,
1479,塡,塡,U+5861,,
1480,田,田,U+7530,,
1481,伝,傳,U+50B3,,
1482,殿,殿,U+6BBF,,
1483,電,電,U+96FB,,
1484,斗,斗,U+6597,,
1485,吐,吐,U+5410,,
1486,妬,妬,U+59AC,,
1487,徒,徒,U+5F92,,
1488,途,途,U+9014,U+9014 U+E0101,CID+13950
1489,都,都,U+FA26,,
1490,渡,渡,U+6E21,,
1491,塗,塗,U+5857,,
1492,賭,賭,U+8CED,,
1493,土,土,U+571F,,
1494,奴,奴,U+5974,,
1495,努,努,U+52AA,,
1496,度,度,U+5EA6,,
1497,怒,怒,U+6012,,
1498,刀,刀,U+5200,,
1499,冬,冬,U+51AC,U+51AC U+E0100,CID+13954
1500,灯,燈,U+71C8,,
1501,当,當,U+7576,,
1502,投,投,U+6295,,
1503,豆,豆,U+8C46,,
1504,東,東,U+6771,,
1505,到,到,U+5230,,
1506,逃,逃,U+9003,U+9003 U+E0102,CID+13959
1507,倒,倒,U+5012,,
1508,凍,凍,U+51CD,,
1509,唐,唐,U+5510,U+5510 U+E0101,CID+13955
1510,島,島,U+5CF6,,
1511,桃,桃,U+6843,U+6843 U+E0101,CID+13484
1512,討,討,U+8A0E,,
1513,透,透,U+900F,U+900F U+E0101,CID+13960
1514,党,黨,U+9EE8,,
1515,悼,悼,U+60BC,,
1516,盗,盜,U+76DC,,
1517,陶,陶,U+9676,,
1518,塔,塔,U+5854,,
1519,搭,搭,U+642D,,
1520,棟,棟,U+68DF,,
1521,湯,湯,U+6E6F,,
1522,痘,痘,U+75D8,,
1523,登,登,U+767B,,
1524,答,答,U+7B54,,
1525,等,等,U+7B49,,
1526,筒,筒,U+7B52,,
1527,統,統,U+7D71,,
1528,稲,稻,U+7A3B,,
1529,踏,踏,U+8E0F,,
1530,糖,糖,U+7CD6,U+7CD6 U+E0100,CID+13956
1531,頭,頭,U+982D,,
1532,謄,謄,U+8B04,U+8B04 U+E0101,CID+13958
1533,藤,藤,U+85E4,U+85E4 U+E0101,CID+13957
1534,闘,鬪,U+9B2A,,
1535,騰,騰,U+9A30,U+9A30 U+E0101,CID+13961
1536,同,同,U+540C,,
1537,洞,洞,U+6D1E,,
1538,胴,胴,U+80F4,,
1539,動,動,U+52D5,,
1540,堂,堂,U+5802,,
1541,童,童,U+7AE5,,
1542,道,道,U+9053,U+9053 U+E0101,CID+13963
1543,働,働,U+50CD,,
1544,銅,銅,U+9285,,
1545,導,導,U+5C0E,U+5C0E U+E0101,CID+13962
1546,瞳,瞳,U+77B3,,
1547,峠,峠,U+5CE0,,
1548,匿,匿,U+533F,U+533F U+E0101,CID+20087
1549,特,特,U+7279,,
1550,得,得,U+5F97,,
1551,督,督,U+7763,,
1552,徳,德,U+5FB7,,
1553,篤,篤,U+7BE4,,
1554,毒,毒,U+6BD2,,
1555,独,獨,U+7368,,
1556,読,讀,U+8B80,,
1557,栃,栃,U+6803,,
1558,凸,凸,U+51F8,,
1559,突,突,U+FA55,,
1560,届,屆,U+5C46,,
1561,屯,屯,U+5C6F,,
1562,豚,豚,U+8C5A,,
1563,頓,頓,U+9813,,
1564,貪,貪,U+8CAA,,
1565,鈍,鈍,U+920D,,
1566,曇,曇,U+66C7,,
1567,丼,丼,U+4E3C,,
1568,那,那,U+90A3,U+90A3 U+E0101,CID+7765
1569,奈,奈,U+5948,,
1570,內,內,U+5167,,
1571,梨,梨,U+68A8,,
1572,謎,謎,U+8B0E,U+8B0E U+E0101,CID+7766
1573,鍋,鍋,U+934B,,
1574,南,南,U+5357,,
1575,軟,軟,U+8EDF,,
1576,難,難,U+FA68,,
1577,二,二,U+4E8C,,
1578,尼,尼,U+5C3C,,
1579,弐,貳,U+8CB3,,
1580,匂,匂,U+5302,,
1581,肉,肉,U+8089,U+8089 U+E0101,CID+13967
1582,虹,虹,U+8679,,
1583,日,日,U+65E5,,
1584,入,入,U+5165,,
1585,乳,乳,U+4E73,U+4E73 U+E0101,CID+13968
1586,尿,尿,U+5C3F,,
1587,任,任,U+4EFB,,
1588,妊,妊,U+598A,,
1589,忍,忍,U+5FCD,U+5FCD U+E0101,CID+13969
1590,認,認,U+8A8D,U+8A8D U+E0101,CID+13970
1591,寧,寧,U+5BE7,U+5BE7 U+E0100,CID+13971
1592,熱,熱,U+71B1,,
1593,年,年,U+5E74,,
1594,念,念,U+5FF5,,
1595,捻,捻,U+637B,,
1596,粘,粘,U+7C98,,
1597,燃,燃,U+71C3,,
1598,悩,惱,U+60F1,,
1599,納,納,U+7D0D,U+7D0D U+E0101,CID+13972
1600,能,能,U+80FD,,
1601,脳,腦,U+8166,,
1602,農,農,U+8FB2,,
1603,濃,濃,U+6FC3,,
1604,把,把,U+628A,,
1605,波,波,U+6CE2,,
1606,派,派,U+6D3E,U+6D3E U+E0102,CID+13974
1607,破,破,U+7834,,
1608,覇,霸,U+9738,,
1609,馬,馬,U+99AC,,
1610,婆,婆,U+5A46,,
1611,罵,罵,U+7F75,,
1612,拝,拜,U+62DC,,
1613,杯,杯,U+676F,,
1614,背,背,U+80CC,,
1615,肺,肺,U+80BA,U+80BA U+E0101,CID+13975
1616,俳,俳,U+4FF3,,
1617,配,配,U+914D,,
1618,排,排,U+6392,U+6392 U+E0101,CID+13487
1619,敗,敗,U+6557,,
1620,廃,廢,U+5EE2,,
1621,輩,輩,U+8F29,U+8F29 U+E0101,CID+13488
1622,売,賣,U+8CE3,,
1623,倍,倍,U+500D,,
1624,梅,梅,U+FA44,,
1625,培,培,U+57F9,,
1626,陪,陪,U+966A,,
1627,媒,媒,U+5A92,,
1628,買,買,U+8CB7,,
1629,賠,賠,U+8CE0,,
1630,白,白,U+767D,,
1631,伯,伯,U+4F2F,,
1632,拍,拍,U+62CD,,
1633,泊,泊,U+6CCA,,
1634,迫,迫,U+8FEB,U+8FEB U+E0101,CID+13978
1635,剝,剝,U+525D,,
1636,舶,舶,U+8236,,
1637,博,博,U+535A,U+535A U+E0101,CID+13976
1638,薄,薄,U+8584,U+8584 U+E0101,CID+13977
1639,麦,麥,U+9EA5,,
1640,漠,漠,U+6F20,,
1641,縛,縛,U+7E1B,U+7E1B U+E0101,CID+13979
1642,爆,爆,U+7206,,
1643,箱,箱,U+7BB1,,
1644,箸,箸,U+7BB8,,
1645,畑,畑,U+7551,,
1646,肌,肌,U+808C,,
1647,八,八,U+516B,,
1648,鉢,鉢,U+9262,,
1649,発,發,U+767C,,
1650,髪,髮,U+9AEE,,
1651,伐,伐,U+4F10,,
1652,抜,拔,U+62D4,,
1653,罰,罰,U+7F70,,
1654,閥,閥,U+95A5,,
1655,反,反,U+53CD,,
1656,半,半,U+534A,U+534A U+E0101,CID+13986
1657,氾,氾,U+6C3E,,
1658,犯,犯,U+72AF,,
1659,帆,帆,U+5E06,,
1660,汎,汎,U+6C4E,,
1661,伴,伴,U+4F34,U+4F34 U+E0101,CID+13984
1662,判,判,U+5224,U+5224 U+E0101,CID+13985
1663,坂,坂,U+5742,,
1664,阪,阪,U+962A,,
1665,板,板,U+677F,,
1666,版,版,U+7248,,
1667,班,班,U+73ED,U+73ED U+E0101,CID+13489
1668,畔,畔,U+7554,U+7554 U+E0101,CID+13988
1669,般,般,U+822C,,
1670,販,販,U+8CA9,,
1671,斑,斑,U+6591,,
1672,飯,飯,U+FA2A,,
1673,搬,搬,U+642C,,
1674,煩,煩,U+7169,,
1675,頒,頒,U+9812,U+9812 U+E0101,CID+13490
1676,範,範,U+7BC4,,
1677,繁,繁,U+FA59,,
1678,藩,藩,U+85E9,,
1679,晩,晚,U+665A,,
1680,番,番,U+756A,,
1681,蛮,蠻,U+883B,,
1682,盤,盤,U+76E4,,
1683,比,比,U+6BD4,,
1684,皮,皮,U+76AE,,
1685,妃,妃,U+5983,,
1686,否,否,U+5426,,
1687,批,批,U+6279,,
1688,彼,彼,U+5F7C,,
1689,披,披,U+62AB,,
1690,肥,肥,U+80A5,,
1691,非,非,U+975E,,
1692,卑,卑,U+FA35,,
1693,飛,飛,U+98DB,,
1694,疲,疲,U+75B2,,
1695,秘,祕,U+7955,,
1696,被,被,U+88AB,,
1697,悲,悲,U+60B2,U+60B2 U+E0101,CID+13491
1698,扉,扉,U+6249,U+6249 U+E0101,CID+7779
1699,費,費,U+8CBB,,
1700,碑,碑,U+FA4B,,
1701,罷,罷,U+7F77,,
1702,避,避,U+907F,U+907F U+E0101,CID+13991
1703,尾,尾,U+5C3E,,
1704,眉,眉,U+7709,,
1705,美,美,U+7F8E,,
1706,備,備,U+5099,,
1707,微,微,U+5FAE,,
1708,鼻,鼻,U+9F3B,U+9F3B U+E0101,CID+13993
1709,膝,膝,U+819D,,
1710,肘,肘,U+8098,,
1711,匹,匹,U+5339,U+5339 U+E0101,CID+13994
1712,必,必,U+5FC5,,
1713,泌,泌,U+6CCC,,
1714,筆,筆,U+7B46,,
1715,姫,姬,U+59EC,,
1716,百,百,U+767E,,
1717,氷,氷,U+6C37,,
1718,表,表,U+8868,,
1719,俵,俵,U+4FF5,,
1720,票,票,U+7968,,
1721,評,評,U+8A55,U+8A55 U+E0101,CID+13999
1722,漂,漂,U+6F02,,
1723,標,標,U+6A19,,
1724,苗,苗,U+82D7,,
1725,秒,秒,U+79D2,,
1726,病,病,U+75C5,U+75C5 U+E0101,CID+14001
1727,描,描,U+63CF,,
1728,猫,猫,U+732B,,
1729,品,品,U+54C1,,
1730,浜,濱,U+6FF1,,
1731,貧,貧,U+8CA7,U+8CA7 U+E0101,CID+13496
1732,賓,賓,U+FA64,,
1733,頻,頻,U+FA6A,,
1734,敏,敏,U+FA41,,
1735,瓶,甁,U+7501,,
1736,不,不,U+4E0D,,
1737,夫,夫,U+592B,,
1738,父,父,U+7236,U+7236 U+E0101,CID+13497
1739,付,付,U+4ED8,,
1740,布,布,U+5E03,,
1741,扶,扶,U+6276,,
1742,府,府,U+5E9C,,
1743,怖,怖,U+6016,,
1744,阜,阜,U+961C,,
1745,附,附,U+9644,,
1746,訃,訃,U+8A03,,
1747,負,負,U+8CA0,U+8CA0 U+E0101,CID+14005
1748,赴,赴,U+8D74,,
1749,浮,浮,U+6D6E,U+6D6E U+E0101,CID+14004
1750,婦,婦,U+5A66,U+5A66 U+E0101,CID+14002
1751,符,符,U+7B26,,
1752,富,富,U+5BCC,,
1753,普,普,U+666E,,
1754,腐,腐,U+8150,,
1755,敷,敷,U+6577,U+6577 U+E0101,CID+14003
1756,膚,膚,U+819A,,
1757,賦,賦,U+8CE6,,
1758,譜,譜,U+8B5C,,
1759,侮,侮,U+FA30,,
1760,武,武,U+6B66,,
1761,部,部,U+90E8,,
1762,舞,舞,U+821E,,
1763,封,封,U+5C01,,
1764,風,風,U+98A8,,
1765,伏,伏,U+4F0F,,
1766,服,服,U+670D,U+670D U+E0101,CID+14007
1767,副,副,U+526F,,
1768,幅,幅,U+5E45,,
1769,復,復,U+5FA9,,
1770,福,福,U+FA1B,,
1771,腹,腹,U+8179,,
1772,複,複,U+8907,,
1773,覆,覆,U+8986,U+8986 U+E0101,CID+14008
1774,払,拂,U+62C2,,
1775,沸,沸,U+6CB8,,
1776,仏,佛,U+4F5B,,
1777,物,物,U+7269,,
1778,粉,粉,U+7C89,U+7C89 U+E0101,CID+13502
1779,紛,紛,U+7D1B,U+7D1B U+E0101,CID+13503
1780,雰,雰,U+96F0,U+96F0 U+E0101,CID+13504
1781,噴,噴,U+5674,,
1782,墳,墳,U+58B3,,
1783,憤,憤,U+61A4,,
1784,奮,奮,U+596E,,
1785,分,分,U+5206,U+5206 U+E0101,CID+13499
1786,文,文,U+6587,U+6587 U+E0101,CID+20131
1787,聞,聞,U+805E,,
1788,丙,丙,U+4E19,U+4E19 U+E0101,CID+14009
1789,平,平,U+5E73,U+5E73 U+E0101,CID+14011
1790,兵,兵,U+5175,,
1791,併,倂,U+5002,,
1792,並,竝,U+7ADD,,
1793,柄,柄,U+67C4,U+67C4 U+E0101,CID+20145
1794,陛,陛,U+965B,,
1795,閉,閉,U+9589,,
1796,塀,塀,U+FA39,,
1797,幣,幣,U+5E63,U+5E63 U+E0101,CID+14010
1798,弊,弊,U+5F0A,U+5F0A U+E0101,CID+14012
1799,蔽,蔽,U+853D,,
1800,餅,餠,U+9920,,
1801,米,米,U+7C73,,
1802,壁,壁,U+58C1,,
1803,璧,璧,U+74A7,,
1804,癖,癖,U+7656,,
1805,別,別,U+5225,,
1806,蔑,蔑,U+8511,,
1807,片,片,U+7247,,
1808,辺,邊,U+908A,,
1809,返,返,U+8FD4,U+8FD4 U+E0101,CID+14016
1810,変,變,U+8B8A,,
1811,偏,偏,U+504F,U+504F U+E0101,CID+14014
1812,遍,遍,U+904D,U+904D U+E0101,CID+14017
1813,編,編,U+7DE8,U+7DE8 U+E0101,CID+14015
1814,弁,辨瓣辯,U+8FA8 U+74E3 U+8FAF,,
1815,便,便,U+4FBF,U+4FBF U+E0101,CID+13506
1816,勉,勉,U+FA33,,
1817,歩,步,U+6B65,,
1818,保,保,U+4FDD,,
1819,哺,哺,U+54FA,,
1820,捕,捕,U+6355,,
1821,補,補,U+88DC,,
1822,舗,舗,U+8217,,
1823,母,母,U+6BCD,,
1824,募,募,U+52DF,,
1825,墓,墓,U+5893,,
1826,慕,慕,U+6155,,
1827,暮,暮,U+66AE,,
1828,簿,簿,U+7C3F,U+7C3F U+E0101,CID+14018
1829,方,方,U+65B9,,
1830,包,包,U+5305,U+5305 U+E0101,CID+14019
1831,芳,芳,U+82B3,,
1832,邦,邦,U+90A6,U+90A6 U+E0102,CID+14028
1833,奉,奉,U+5949,,
1834,宝,寶,U+5BF6,,
1835,抱,抱,U+62B1,U+62B1 U+E0101,CID+14021
1836,放,放,U+653E,,
1837,法,法,U+6CD5,,
1838,泡,泡,U+6CE1,U+6CE1 U+E0101,CID+7793
1839,胞,胞,U+80DE,U+80DE U+E0101,CID+14025
1840,俸,俸,U+4FF8,,
1841,倣,倣,U+5023,,
1842,峰,峰,U+5CF0,,
1843,砲,砲,U+7832,U+7832 U+E0101,CID+14023
1844,崩,崩,U+5D29,U+5D29 U+E0101,CID+14020
1845,訪,訪,U+8A2A,,
1846,報,報,U+5831,,
1847,蜂,蜂,U+8702,,
1848,豊,豐,U+8C50,,
1849,飽,飽,U+98FD,U+98FD U+E0101,CID+14029
1850,褒,襃,U+8943,,
1851,縫,縫,U+7E2B,U+7E2B U+E0101,CID+14024
1852,亡,亡,U+4EA1,U+4EA1 U+E0101,CID+14031
1853,乏,乏,U+4E4F,,
1854,忙,忙,U+5FD9,U+5FD9 U+E0101,CID+14034
1855,坊,坊,U+574A,,
1856,妨,妨,U+59A8,,
1857,忘,忘,U+5FD8,U+5FD8 U+E0101,CID+14033
1858,防,防,U+9632,,
1859,房,房,U+623F,U+623F U+E0101,CID+14035
1860,肪,肪,U+80AA,,
1861,某,某,U+67D0,,
1862,冒,冒,U+5192,U+5192 U+E0101,CID+14038
1863,剖,剖,U+5256,,
1864,紡,紡,U+7D21,,
1865,望,望,U+671B,U+671B U+E0102,CID+14037
1866,傍,傍,U+508D,,
1867,帽,帽,U+5E3D,U+5E3D U+E0101,CID+14032
1868,棒,棒,U+68D2,,
1869,貿,貿,U+8CBF,,
1870,貌,貌,U+8C8C,,
1871,暴,暴,U+66B4,,
1872,膨,膨,U+81A8,,
1873,謀,謀,U+8B00,,
1874,頰,頰,U+9830,,
1875,北,北,U+5317,,
1876,木,木,U+6728,,
1877,朴,朴,U+6734,,
1878,牧,牧,U+7267,,
1879,睦,睦,U+7766,,
1880,僕,僕,U+50D5,,
1881,墨,墨,U+FA3A,,
1882,撲,撲,U+64B2,,
1883,没,没,U+6CA1,,
1884,勃,勃,U+52C3,,
1885,堀,堀,U+5800,,
1886,本,本,U+672C,,
1887,奔,奔,U+5954,,
1888,翻,飜,U+98DC,,
1889,凡,凡,U+51E1,,
1890,盆,盆,U+76C6,U+76C6 U+E0101,CID+13508
1891,麻,麻,U+9EBB,U+9EBB U+E0101,CID+14044
1892,摩,摩,U+6469,U+6469 U+E0101,CID+14039
1893,磨,磨,U+78E8,U+78E8 U+E0101,CID+14042
1894,魔,魔,U+9B54,U+9B54 U+E0101,CID+14043
1895,毎,每,U+6BCF,,
1896,妹,妹,U+59B9,,
1897,枚,枚,U+679A,,
1898,昧,昧,U+6627,,
1899,埋,埋,U+57CB,,
1900,幕,幕,U+5E55,,
1901,膜,膜,U+819C,,
1902,枕,枕,U+6795,,
1903,又,又,U+53C8,,
1904,末,末,U+672B,,
1905,抹,抹,U+62B9,,
1906,万,萬,U+842C,,
1907,満,滿,U+6EFF,,
1908,慢,慢,U+6162,,
1909,漫,漫,U+6F2B,,
1910,未,未,U+672A,,
1911,味,味,U+5473,,
1912,魅,魅,U+9B45,,
1913,岬,岬,U+5CAC,,
1914,密,密,U+5BC6,,
1915,蜜,蜜,U+871C,,
1916,脈,脈,U+8108,U+8108 U+E0102,CID+14051
1917,妙,妙,U+5999,,
1918,民,民,U+6C11,,
1919,眠,眠,U+7720,,
1920,矛,矛,U+77DB,,
1921,務,務,U+52D9,,
1922,無,無,U+7121,,
1923,夢,夢,U+5922,,
1924,霧,霧,U+9727,,
1925,娘,娘,U+5A18,,
1926,名,名,U+540D,,
1927,命,命,U+547D,,
1928,明,明,U+660E,,
1929,迷,迷,U+8FF7,U+8FF7 U+E0101,CID+14054
1930,冥,冥,U+51A5,,
1931,盟,盟,U+76DF,,
1932,銘,銘,U+9298,,
1933,鳴,鳴,U+9CF4,,
1934,滅,滅,U+6EC5,,
1935,免,免,U+FA32,,
1936,面,面,U+9762,,
1937,綿,綿,U+7DBF,,
1938,麺,麵,U+9EB5,,
1939,茂,茂,U+8302,,
1940,模,模,U+6A21,,
1941,毛,毛,U+6BDB,,
1942,妄,妄,U+5984,U+5984 U+E0101,CID+14055
1943,盲,盲,U+76F2,U+76F2 U+E0101,CID+14057
1944,耗,耗,U+8017,U+8017 U+E0101,CID+14058
1945,猛,猛,U+731B,,
1946,網,網,U+7DB2,,
1947,目,目,U+76EE,,
1948,黙,默,U+9ED8,,
1949,門,門,U+9580,,
1950,紋,紋,U+7D0B,U+7D0B U+E0101,CID+14060
1951,問,問,U+554F,,
1952,冶,冶,U+51B6,,
1953,夜,夜,U+591C,,
1954,野,野,U+91CE,,
1955,弥,彌,U+5F4C,,
1956,厄,厄,U+5384,,
1957,役,役,U+5F79,,
1958,約,約,U+7D04,,
1959,訳,譯,U+8B6F,,
1960,薬,藥,U+85E5,,
1961,躍,躍,U+8E8D,U+8E8D U+E0101,CID+14063
1962,闇,闇,U+95C7,,
1963,由,由,U+7531,,
1964,油,油,U+6CB9,,
1965,喩,喩,U+55A9,,
1966,愉,愉,U+6109,U+6109 U+E0101,CID+14067
1967,諭,諭,U+8AED,U+8AED U+E0100,CID+14068
1968,輸,輸,U+8F38,U+8F38 U+E0101,CID+14069
1969,癒,癒,U+7652,,
1970,唯,唯,U+552F,,
1971,友,友,U+53CB,,
1972,有,有,U+6709,,
1973,勇,勇,U+52C7,,
1974,幽,幽,U+5E7D,,
1975,悠,悠,U+60A0,,
1976,郵,郵,U+90F5,,
1977,湧,湧,U+6E67,,
1978,猶,猶,U+7336,U+7336 U+E0101,CID+14072
1979,裕,裕,U+88D5,,
1980,遊,遊,U+904A,U+904A U+E0101,CID+14076
1981,雄,雄,U+96C4,,
1982,誘,誘,U+8A98,,
1983,憂,憂,U+6182,,
1984,融,融,U+878D,,
1985,優,優,U+512A,,
1986,与,與,U+8207,,
1987,予,豫,U+8C6B,,
1988,余,餘,U+9918,,
1989,誉,譽,U+8B7D,,
1990,預,預,U+9810,,
1991,幼,幼,U+5E7C,,
1992,用,用,U+7528,,
1993,羊,羊,U+7F8A,,
1994,妖,妖,U+5996,,
1995,洋,洋,U+6D0B,,
1996,要,要,U+8981,U+8981 U+E0101,CID+14079
1997,容,容,U+5BB9,,
1998,庸,庸,U+5EB8,,
1999,揚,揚,U+63DA,,
2000,揺,搖,U+6416,,
2001,葉,葉,U+8449,,
2002,陽,陽,U+967D,,
2003,溶,溶,U+6EB6,,
2004,腰,腰,U+8170,,
2005,様,樣,U+6A23,,
2006,瘍,瘍,U+760D,,
2007,踊,踊,U+8E0A,,
2008,窯,窯,U+7AAF,,
2009,養,養,U+990A,U+990A U+E0101,CID+14080
2010,擁,擁,U+64C1,,
2011,謡,謠,U+8B20,,
2012,曜,曜,U+66DC,U+66DC U+E0101,CID+14077
2013,抑,抑,U+6291,,
2014,沃,沃,U+6C83,,
2015,浴,浴,U+6D74,,
2016,欲,欲,U+6B32,,
2017,翌,翌,U+7FCC,U+7FCC U+E0101,CID+14081
2018,翼,翼,U+7FFC,U+7FFC U+E0102,CID+14082
2019,拉,拉,U+62C9,,
2020,裸,裸,U+88F8,,
2021,羅,羅,U+7F85,,
2022,来,來,U+4F86,,
2023,雷,雷,U+96F7,,
2024,頼,賴,U+8CF4,,
2025,絡,絡,U+7D61,,
2026,落,落,U+843D,,
2027,酪,酪,U+916A,,
2028,辣,辣,U+8FA3,,
2029,乱,亂,U+4E82,,
2030,卵,卵,U+5375,,
2031,覧,覽,U+89BD,U+89BD U+E0101,CID+14218
2032,濫,濫,U+6FEB,,
2033,藍,藍,U+85CD,,
2034,欄,欄,U+F91D,,
2035,吏,吏,U+540F,U+540F U+E0101,CID+13513
2036,利,利,U+5229,,
2037,里,里,U+91CC,,
2038,理,理,U+7406,,
2039,痢,痢,U+75E2,,
2040,裏,裏,U+88CF,,
2041,履,履,U+5C65,,
2042,璃,璃,U+7483,,
2043,離,離,U+96E2,,
2044,陸,陸,U+9678,,
2045,立,立,U+7ACB,,
2046,律,律,U+5F8B,,
2047,慄,慄,U+6144,,
2048,略,略,U+7565,,
2049,柳,柳,U+67F3,,
2050,流,流,U+6D41,,
2051,留,留,U+7559,,
2052,竜,龍,U+9F8D,U+9F8D U+E0102,CID+14087
2053,粒,粒,U+7C92,,
2054,隆,隆,U+F9DC,,
2055,硫,硫,U+786B,,
2056,侶,侶,U+4FB6,,
2057,旅,旅,U+65C5,U+65C5 U+E0101,CID+14088
2058,虜,虜,U+F936,,
2059,慮,慮,U+616E,,
2060,了,了,U+4E86,,
2061,両,兩,U+5169,,
2062,良,良,U+826F,,
2063,料,料,U+6599,,
2064,涼,涼,U+6DBC,,
2065,猟,獵,U+7375,,
2066,陵,陵,U+9675,,
2067,量,量,U+91CF,,
2068,僚,僚,U+50DA,,
2069,領,領,U+9818,,
2070,寮,寮,U+5BEE,,
2071,療,療,U+7642,,
2072,瞭,瞭,U+77AD,,
2073,糧,糧,U+7CE7,,
2074,力,力,U+529B,,
2075,緑,綠,U+7DA0,,
2076,林,林,U+6797,,
2077,厘,厘,U+5398,,
2078,倫,倫,U+502B,,
2079,輪,輪,U+8F2A,,
2080,隣,隣,U+96A3,U+96A3 U+E0102,CID+14091
2081,臨,臨,U+81E8,,
2082,瑠,瑠,U+7460,,
2083,涙,淚,U+6DDA,,
2084,累,累,U+7D2F,,
2085,塁,壘,U+58D8,,
2086,類,類,U+F9D0,,
2087,令,令,U+4EE4,,
2088,礼,禮,U+79AE,,
2089,冷,冷,U+51B7,,
2090,励,勵,U+52F5,,
2091,戻,戾,U+623E,,
2092,例,例,U+4F8B,,
2093,鈴,鈴,U+9234,,
2094,零,零,U+96F6,,
2095,霊,靈,U+9748,,
2096,隷,隷,U+96B7,,
2097,齢,齡,U+9F61,,
2098,麗,麗,U+9E97,U+9E97 U+E0101,CID+13516
2099,暦,曆,U+66C6,,
2100,歴,歷,U+6B77,,
2101,列,列,U+5217,,
2102,劣,劣,U+52A3,,
2103,烈,烈,U+70C8,,
2104,裂,裂,U+88C2,,
2105,恋,戀,U+6200,,
2106,連,連,U+9023,U+9023 U+E0100,CID+14097
2107,廉,廉,U+5EC9,U+5EC9 U+E0100,CID+14095
2108,練,練,U+FA57,,
2109,錬,鍊,U+934A,,
2110,呂,呂,U+5442,,
2111,炉,爐,U+7210,,
2112,賂,賂,U+8CC2,,
2113,路,路,U+8DEF,,
2114,露,露,U+9732,,
2115,老,老,U+8001,,
2116,労,勞,U+52DE,,
2117,弄,弄,U+5F04,,
2118,郎,郞,U+90DE,,
2119,朗,朗,U+F929,,
2120,浪,浪,U+6D6A,,
2121,廊,廊,U+F928,,
2122,楼,樓,U+6A13,,
2123,漏,漏,U+6F0F,,
2124,籠,籠,U+7C60,,
2125,六,六,U+516D,,
2126,録,錄,U+9304,,
2127,麓,麓,U+9E93,,
2128,論,論,U+8AD6,,
2129,和,和,U+548C,,
2130,話,話,U+8A71,,
2131,賄,賄,U+8CC4,,
2132,脇,脇,U+8107,,
2133,惑,惑,U+60D1,,
2134,枠,枠,U+67A0,,
2135,湾,灣,U+7063,,
2136,腕,腕,U+8155,,
